,train_loss,train_acc,val_loss,val_acc
0,0.8669656776189804,70.8125,0.30829263508319854,94.0625
1,0.27127330368757246,88.825,0.1666780471801758,92.875
2,0.20264300498366355,91.7375,0.11508862406015397,93.5
3,0.17220418825745581,94.0,0.347514865025878,90.3125
4,0.11630783278867603,96.175,0.40791928470134736,88.3125
5,0.09826936697028578,96.9125,0.15229192607104777,92.0625
6,0.08092624083347619,97.5625,0.030048610949888824,99.25
7,0.06324369008745998,98.2,0.3005679370649159,90.6875
8,0.05174493339471519,98.45,0.1152686081873253,92.6875
9,0.05233767640870064,98.525,0.041228414634242656,99.375
10,0.04674953428562731,98.7375,0.014070817566243931,99.25
11,0.03482285566790961,98.925,0.008957713458221406,99.5
12,0.03420918781682849,98.95,0.012461064332164824,100.0
13,0.04499528957251459,98.625,0.021762839197181166,99.1875
14,0.043559480435447766,98.775,0.24089313939213752,87.5
15,0.02936970373429358,99.1125,0.27055769864469764,89.5625
16,0.036991128840949385,98.9125,0.1945328671007883,93.0625
17,0.028135668955510482,99.2625,0.1541261549293995,93.625
18,0.02173351259122137,99.4375,0.028362526666896884,99.875
19,0.018183047427330165,99.5375,0.0007387671375181526,100.0
